queue_rank,repro_dir,pattern_hash,kind,family,n_points,n_models,total_occurrences,old_oracle_candidates,status,owner,notes
353,var_mean_73c58826bf26,73c58826bf26,reduction,norm_template_canonicalization,4,1,8,~var_mean_35394af84f60,unclaimed,,
354,var_mean_933891a45f41,933891a45f41,reduction,reduction_var_mean,1,1,8,,unclaimed,,
355,var_mean_96edf0542ecd,96edf0542ecd,reduction,norm_template_canonicalization,5,12,8,var_mean_d22940b03b5c;var_mean_d8fae237d769,unclaimed,,
356,var_mean_ff1e9ea5f167,ff1e9ea5f167,reduction,norm_template_canonicalization,4,1,8,~var_mean_35394af84f60,unclaimed,,
357,amax_sum_sum_4779980113db,4779980113db,reduction,scatter_gather,6,9,7,~amax_sum_sum_674523e70161,unclaimed,,
358,pointwise_5a0f1ca0cc0c,5a0f1ca0cc0c,pointwise,layout_indexing_stencil_fusion,7,3,7,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
359,pointwise_86c81d3b330e,86c81d3b330e,pointwise,scatter_gather,5,10,7,,unclaimed,,
360,pointwise_e40852a34050,e40852a34050,pointwise,pointwise,1,7,7,,unclaimed,,
361,pointwise_edfab1af9465,edfab1af9465,pointwise,layout_indexing_stencil_fusion,2,3,7,pointwise_edfab1af9465,unclaimed,,
362,sum_cf864ca94168,cf864ca94168,reduction,scatter_gather,7,5,7,,unclaimed,,
363,mean_630822b58781,630822b58781,reduction,unclassified_priority_gap,2,3,6,mean_01c500735869;mean_fb3bbfd51007,unclaimed,,
364,pointwise_3ebefe8b6cfb,3ebefe8b6cfb,pointwise,layout_indexing_stencil_fusion,4,2,6,pointwise_0a306c604828,unclaimed,,
365,pointwise_666951cd0da5,666951cd0da5,pointwise,layout_indexing_stencil_fusion,1,2,6,pointwise_2eae25328292,unclaimed,,
366,pointwise_848f47987aea,848f47987aea,pointwise,pointwise,1,6,6,,unclaimed,,
367,pointwise_a4aa707cd2f4,a4aa707cd2f4,pointwise,unclassified_priority_gap,5,7,6,pointwise_5e8fb91fe0df,unclaimed,,
368,pointwise_ada23cf7aec6,ada23cf7aec6,pointwise,layout_indexing_stencil_fusion,6,3,6,pointwise_f0dd9248187e,unclaimed,,
369,pointwise_b09beca3a7bd,b09beca3a7bd,pointwise,pointwise,3,1,6,,unclaimed,,
370,pointwise_e859108a48e0,e859108a48e0,pointwise,unclassified_priority_gap,1,2,6,~pointwise_17542057506f;~pointwise_2babaf917a12;~pointwise_b51064ab890f,unclaimed,,
371,pointwise_eff4b8c521ae,eff4b8c521ae,pointwise,layout_indexing_stencil_fusion,6,4,6,~pointwise_485ad74a8b0e;~pointwise_5af8bce2a228;~pointwise_e33f44c6dd73,unclaimed,,
372,pointwise_fbfd10a2d290,fbfd10a2d290,pointwise,layout_indexing_stencil_fusion,6,3,6,pointwise_1f7516b9892a;pointwise_7f55bac8afd0;pointwise_d38e6d98a617,unclaimed,,
373,sum_sum_3ab1da5a9e6c,3ab1da5a9e6c,reduction,reduction_general,4,4,6,,unclaimed,,
374,sum_sum_f9e4c9d243d2,f9e4c9d243d2,reduction,reduction_general,1,1,6,,unclaimed,,
375,sum_sum_sum_127fc8edd5da,127fc8edd5da,reduction,reduction_general,1,2,6,,unclaimed,,
376,sum_sum_sum_92943d6eae4c,92943d6eae4c,reduction,reduction_general,1,4,6,,unclaimed,,
377,var_mean_11df982f906b,11df982f906b,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
378,var_mean_23294968b555,23294968b555,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
379,var_mean_3260131881b0,3260131881b0,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
380,var_mean_38f166201359,38f166201359,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
381,var_mean_47eaf3cbeb9b,47eaf3cbeb9b,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
382,var_mean_8799151bd693,8799151bd693,reduction,norm_template_canonicalization,4,8,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
383,var_mean_a678817dc522,a678817dc522,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
384,var_mean_b52cf3fd9807,b52cf3fd9807,reduction,norm_template_canonicalization,4,8,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
385,var_mean_ba4e73ab2deb,ba4e73ab2deb,reduction,norm_template_canonicalization,6,3,6,~var_mean_cf1ffb1a79d8,unclaimed,,
386,var_mean_bdf875eb35d3,bdf875eb35d3,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
387,var_mean_d8be325d48fc,d8be325d48fc,reduction,norm_template_canonicalization,4,7,6,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
388,var_mean_e67fddfba074,e67fddfba074,reduction,norm_template_canonicalization,1,1,6,~var_mean_525fd66a1241,unclaimed,,
389,amax_sum_any_34ccb88507ce,34ccb88507ce,reduction,reduction_softmax_like,4,6,5,,unclaimed,,
390,amax_sum_sum_3f000d9caa57,3f000d9caa57,reduction,scatter_gather,3,6,5,,unclaimed,,
391,amax_sum_sum_822c7c06b882,822c7c06b882,reduction,online_softmax_cross_entropy,3,6,5,~amax_sum_sum_d85e67b00643,unclaimed,,
392,mean_1e85edda8f16,1e85edda8f16,reduction,norm_template_canonicalization,4,2,5,~mean_7874ce26c7f3;~mean_cf12f53df7dd;~pointwise_f564ff7f54c2,unclaimed,,
393,mean_65a318c9ed9c,65a318c9ed9c,reduction,norm_template_canonicalization,4,2,5,~mean_7874ce26c7f3;~mean_cf12f53df7dd;~pointwise_f564ff7f54c2,unclaimed,,
394,mean_b138a1e42dbc,b138a1e42dbc,reduction,norm_template_canonicalization,5,8,5,mean_90c4736187a1,unclaimed,,
395,mean_ea7081208754,ea7081208754,reduction,norm_template_canonicalization,4,2,5,~mean_148ad2fc17ca;~mean_7b48b0105aea;~mean_f5b5cccf92a8,unclaimed,,
396,pointwise_0390d15a6af8,0390d15a6af8,pointwise,layout_indexing_stencil_fusion,5,2,5,~pointwise_57287c224f10,unclaimed,,
397,pointwise_a80af1a259ac,a80af1a259ac,pointwise,layout_indexing_stencil_fusion,3,4,5,pointwise_75795e2c97dd,unclaimed,,
398,pointwise_bef60966ace3,bef60966ace3,pointwise,layout_indexing_stencil_fusion,4,7,5,pointwise_f9f5fb61c369,unclaimed,,
399,pointwise_dc963d04f8e4,dc963d04f8e4,pointwise,unclassified_priority_gap,4,2,5,pointwise_70e5a4aca4b5,unclaimed,,
400,pointwise_ef561a2def29,ef561a2def29,pointwise,layout_indexing_stencil_fusion,4,9,5,~pointwise_c0e132c66e3b;~pointwise_f2df04089ff4;~pointwise_7a4083b7e3d1,unclaimed,,
401,pointwise_fa1cc97c6cfd,fa1cc97c6cfd,pointwise,layout_indexing_stencil_fusion,2,6,5,~pointwise_43877c71f0eb;~pointwise_75795e2c97dd;~pointwise_e5d19e73a52c,unclaimed,,
402,sum_6d8612892024,6d8612892024,reduction,reduction_general,4,6,5,,unclaimed,,
403,sum_9fe21001f3f9,9fe21001f3f9,reduction,unclassified_priority_gap,5,2,5,~sum_2dab433e3109;~sum_fa194db93388;~sum_035e9c596064,unclaimed,,
404,sum_e7c5599e5aa2,e7c5599e5aa2,reduction,reduction_general,2,2,5,,unclaimed,,
405,sum_sum_1a7b8d26a98e,1a7b8d26a98e,reduction,reduction_general,2,2,5,,unclaimed,,
406,sum_sum_38b494b9c61a,38b494b9c61a,reduction,reduction_general,4,2,5,,unclaimed,,
407,sum_sum_7f5745d75e84,7f5745d75e84,reduction,reduction_general,1,2,5,,unclaimed,,
408,sum_sum_abf3db8fc03f,abf3db8fc03f,reduction,reduction_general,5,5,5,,unclaimed,,
409,sum_sum_ffc7c697d0be,ffc7c697d0be,reduction,reduction_general,4,2,5,,unclaimed,,
410,sum_sum_sum_28aca384bafa,28aca384bafa,reduction,reduction_general,2,2,5,,unclaimed,,
411,sum_sum_sum_899373d9c485,899373d9c485,reduction,reduction_general,3,6,5,,unclaimed,,
412,var_mean_106cb6ed6885,106cb6ed6885,reduction,norm_template_canonicalization,3,7,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
413,var_mean_1c8a151acad6,1c8a151acad6,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
414,var_mean_292acd4e7428,292acd4e7428,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
415,var_mean_2da2cb2a9aeb,2da2cb2a9aeb,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
416,var_mean_331f3c87e4d8,331f3c87e4d8,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
417,var_mean_414d63e6d542,414d63e6d542,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
418,var_mean_4b4d0668d167,4b4d0668d167,reduction,norm_template_canonicalization,5,5,5,~var_mean_21efaf61742a;~var_mean_598830735cf6;~var_mean_e92ed08dee3a,unclaimed,,
419,var_mean_5140dfbeba32,5140dfbeba32,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
420,var_mean_6a7f72eec85a,6a7f72eec85a,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
421,var_mean_77263211d169,77263211d169,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
422,var_mean_890c673522ec,890c673522ec,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
423,var_mean_a158b001a93f,a158b001a93f,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
424,var_mean_ad769fcbdaca,ad769fcbdaca,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
425,var_mean_b193afd50ebd,b193afd50ebd,reduction,norm_template_canonicalization,3,6,5,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
426,var_mean_mean_3f4aa90365fa,3f4aa90365fa,reduction,reduction_var_mean,4,2,5,,unclaimed,,
427,var_mean_mean_5f6d60b04d02,5f6d60b04d02,reduction,norm_template_canonicalization,5,5,5,~var_mean_mean_188f42114f68,unclaimed,,
428,var_mean_mean_6a2d0c92a5ed,6a2d0c92a5ed,reduction,reduction_var_mean,4,2,5,,unclaimed,,
429,var_mean_mean_d205976abf2e,d205976abf2e,reduction,norm_template_canonicalization,4,2,5,~var_mean_mean_1e867cdb78f5,unclaimed,,
430,var_mean_var_mean_09d2be3a4e2b,09d2be3a4e2b,reduction,reduction_var_mean,5,2,5,,unclaimed,,
431,amax_amax_any_395c2caa2db4,395c2caa2db4,reduction,reduction_softmax_like,1,2,4,,unclaimed,,
432,amax_amax_any_f8e425e72787,f8e425e72787,reduction,reduction_softmax_like,1,2,4,,unclaimed,,
433,amax_sum_any_161752724969,161752724969,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
434,amax_sum_any_30cded63a2f9,30cded63a2f9,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
435,amax_sum_any_3342ba469382,3342ba469382,reduction,reduction_softmax_like,3,5,4,,unclaimed,,
436,amax_sum_any_577af7e1e84b,577af7e1e84b,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
437,amax_sum_any_58ccf001855a,58ccf001855a,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
438,amax_sum_any_5c3555859171,5c3555859171,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
439,amax_sum_any_b3bc5f490215,b3bc5f490215,reduction,reduction_softmax_like,3,4,4,,unclaimed,,
440,amax_sum_sum_08d044dd173f,08d044dd173f,reduction,scatter_gather,2,5,4,,unclaimed,,
441,amax_sum_sum_93ab7097e9e5,93ab7097e9e5,reduction,online_softmax_cross_entropy,2,6,4,~amax_sum_sum_d85e67b00643,unclaimed,,
442,amax_sum_sum_f1df97645321,f1df97645321,reduction,scatter_gather,4,5,4,,unclaimed,,
443,mean_mean_ee4f8b590982,ee4f8b590982,reduction,reduction_general,1,1,4,,unclaimed,,
444,pointwise_06377502b8f5,06377502b8f5,pointwise,pointwise,2,4,4,,unclaimed,,
445,pointwise_1354bb80cb3b,1354bb80cb3b,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
446,pointwise_153f6de83bab,153f6de83bab,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
447,pointwise_246850b7c198,246850b7c198,pointwise,layout_indexing_stencil_fusion,3,4,4,pointwise_246850b7c198,unclaimed,,
448,pointwise_3564f48d3aa2,3564f48d3aa2,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
449,pointwise_4b076ed1ff41,4b076ed1ff41,pointwise,layout_indexing_stencil_fusion,4,6,4,pointwise_c2dc9d900d36,unclaimed,,
450,pointwise_562d52916cc9,562d52916cc9,pointwise,pointwise,1,6,4,,unclaimed,,
451,pointwise_5d4ed0a3898e,5d4ed0a3898e,pointwise,unclassified_priority_gap,1,1,4,pointwise_b55a3e33e658,unclaimed,,
452,pointwise_66a321be1626,66a321be1626,pointwise,layout_indexing_stencil_fusion,1,2,4,~pointwise_086ccf98d441;~pointwise_78060a0d4a6b,unclaimed,,
453,pointwise_7ebac70550be,7ebac70550be,pointwise,layout_indexing_stencil_fusion,4,2,4,~pointwise_c0e132c66e3b;~pointwise_f2df04089ff4;~pointwise_7a4083b7e3d1,unclaimed,,
454,pointwise_9375aeadb8d3,9375aeadb8d3,pointwise,layout_indexing_stencil_fusion,1,4,4,pointwise_d54fca93c7e1,unclaimed,,
455,pointwise_a22d76c884fc,a22d76c884fc,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
456,pointwise_ae776f663178,ae776f663178,pointwise,layout_indexing_stencil_fusion,4,2,4,~pointwise_d4f672d645c1,unclaimed,,
457,pointwise_bf1f8ed80b12,bf1f8ed80b12,pointwise,pointwise,1,2,4,,unclaimed,,
458,pointwise_c6c7ad63023f,c6c7ad63023f,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
459,pointwise_c7d4871a86a8,c7d4871a86a8,pointwise,layout_indexing_stencil_fusion,4,2,4,pointwise_d89eb45ec337,unclaimed,,
460,pointwise_c827b10bd5dd,c827b10bd5dd,pointwise,unclassified_priority_gap,1,2,4,~pointwise_17542057506f;~pointwise_2babaf917a12;~pointwise_b51064ab890f,unclaimed,,
461,pointwise_d6d9504b25c0,d6d9504b25c0,pointwise,unclassified_priority_gap,1,2,4,~pointwise_17542057506f;~pointwise_2babaf917a12;~pointwise_b51064ab890f,unclaimed,,
462,pointwise_e4b7b0947416,e4b7b0947416,pointwise,pointwise,2,4,4,,unclaimed,,
463,sum_30fd5c612a69,30fd5c612a69,reduction,reduction_general,4,2,4,,unclaimed,,
464,sum_5cb3d877d464,5cb3d877d464,reduction,reduction_general,1,2,4,,unclaimed,,
465,sum_7a3340d935e9,7a3340d935e9,reduction,multi_output_reduction_templates,4,5,4,sum_7a3340d935e9;sum_962f7dc019a9,unclaimed,,
466,sum_81b4fd73f8d1,81b4fd73f8d1,reduction,reduction_general,3,5,4,,unclaimed,,
467,sum_898c72fb606a,898c72fb606a,reduction,reduction_general,1,2,4,,unclaimed,,
468,sum_d6239b8319dc,d6239b8319dc,reduction,unclassified_priority_gap,4,8,4,~sum_035e9c596064;~sum_ca52eb919072;~sum_2dab433e3109,unclaimed,,
469,sum_eb86a17deab9,eb86a17deab9,reduction,sum,4,5,4,sum_39cf4835a913;sum_c7a56ee42903;sum_eb86a17deab9,unclaimed,,
470,sum_sum_1e07e3ba8c68,1e07e3ba8c68,reduction,reduction_general,1,2,4,,unclaimed,,
471,sum_sum_3a61ea52bbe0,3a61ea52bbe0,reduction,scatter_gather,4,4,4,,unclaimed,,
472,sum_sum_3e2827a51f95,3e2827a51f95,reduction,reduction_general,1,2,4,,unclaimed,,
473,sum_sum_85ee747617a6,85ee747617a6,reduction,reduction_general,2,5,4,,unclaimed,,
474,sum_sum_f1db211e227c,f1db211e227c,reduction,reduction_general,4,2,4,,unclaimed,,
475,sum_sum_sum_00a35e7a9bcb,00a35e7a9bcb,reduction,reduction_general,4,5,4,,unclaimed,,
476,var_mean_0a75c9632b84,0a75c9632b84,reduction,norm_template_canonicalization,4,2,4,~var_mean_4581dbce69e5;~var_mean_bb7b5fefc1d5;~var_mean_bff30f530d6e,unclaimed,,
477,var_mean_31d568179350,31d568179350,reduction,norm_template_canonicalization,2,4,4,~var_mean_2ad1aa26eb79;~var_mean_549fdfa09721;~var_mean_5fa359332f2e,unclaimed,,
478,var_mean_481c5828fa83,481c5828fa83,reduction,norm_template_canonicalization,4,2,4,~var_mean_4581dbce69e5;~var_mean_bb7b5fefc1d5;~var_mean_bff30f530d6e,unclaimed,,
479,var_mean_7ede8d1b11ff,7ede8d1b11ff,reduction,norm_template_canonicalization,4,2,4,~var_mean_4581dbce69e5;~var_mean_bb7b5fefc1d5;~var_mean_bff30f530d6e,unclaimed,,
480,var_mean_a716d6413817,a716d6413817,reduction,norm_template_canonicalization,4,2,4,~var_mean_4581dbce69e5;~var_mean_bb7b5fefc1d5;~var_mean_bff30f530d6e,unclaimed,,
481,var_mean_b49510ed25fe,b49510ed25fe,reduction,norm_template_canonicalization,4,1,4,~var_mean_21efaf61742a;~var_mean_598830735cf6;~var_mean_e92ed08dee3a,unclaimed,,
482,var_mean_bc5b607a9d91,bc5b607a9d91,reduction,norm_template_canonicalization,1,1,4,var_mean_034578d167c5,unclaimed,,
483,var_mean_bc6c8d6fc71e,bc6c8d6fc71e,reduction,norm_template_canonicalization,4,6,4,~var_mean_0dc1c0150d30;~var_mean_0bb837cbf30a;~var_mean_6084e124876c,unclaimed,,
484,var_mean_e184692a514a,e184692a514a,reduction,norm_template_canonicalization,4,2,4,~var_mean_4581dbce69e5;~var_mean_bb7b5fefc1d5;~var_mean_bff30f530d6e,unclaimed,,
485,var_mean_e405decd6535,e405decd6535,reduction,norm_template_canonicalization,3,1,4,~var_mean_1b88cfe94b3c,unclaimed,,
486,var_mean_var_mean_1d1822e90ccc,1d1822e90ccc,reduction,reduction_var_mean,2,4,4,,unclaimed,,
487,var_mean_var_mean_var_mean_8a8261a3607b,8a8261a3607b,reduction,reduction_var_mean,2,4,4,,unclaimed,,
488,amax_sum_54a1c45ad37b,54a1c45ad37b,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
489,amax_sum_6f3222a009d0,6f3222a009d0,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
490,amax_sum_any_013b789f83b8,013b789f83b8,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
491,amax_sum_any_2655cc8a0790,2655cc8a0790,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
492,amax_sum_any_569bba0f4f68,569bba0f4f68,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
493,amax_sum_any_6bcd7f175f83,6bcd7f175f83,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
494,amax_sum_b11b5e30ca7a,b11b5e30ca7a,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
495,amax_sum_e06a68534c7d,e06a68534c7d,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
496,amax_sum_edf871faa304,edf871faa304,reduction,reduction_softmax_like,2,3,3,,unclaimed,,
497,amax_sum_sum_8621de4c2766,8621de4c2766,reduction,scatter_gather,2,3,3,,unclaimed,,
498,amax_sum_sum_c94a0970300f,c94a0970300f,reduction,online_softmax_cross_entropy,3,3,3,amax_sum_sum_9e768dff4978,unclaimed,,
499,amax_sum_sum_f58f591dd576,f58f591dd576,reduction,online_softmax_cross_entropy,3,3,3,~amax_sum_sum_6939e2db29e3;~amax_sum_sum_9e768dff4978;~amax_sum_sum_e2f518f0a274,unclaimed,,
500,mean_2f7419dff92d,2f7419dff92d,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
501,mean_36a7a1f42a5b,36a7a1f42a5b,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
502,mean_4a6776b9b660,4a6776b9b660,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
503,mean_55602d03e235,55602d03e235,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
504,mean_5926e8454de3,5926e8454de3,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
505,mean_5b2f38aad09a,5b2f38aad09a,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
506,mean_63bc58206705,63bc58206705,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
507,mean_64a0cf92faf4,64a0cf92faf4,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
508,mean_65771166374c,65771166374c,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
509,mean_7523f1bd5831,7523f1bd5831,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
510,mean_77a9e1c598ea,77a9e1c598ea,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
511,mean_8a7e89839c2f,8a7e89839c2f,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
512,mean_8fc8b05567b8,8fc8b05567b8,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
513,mean_90c16d3077b1,90c16d3077b1,reduction,norm_template_canonicalization,2,2,3,mean_148ad2fc17ca;mean_7b48b0105aea;mean_f5b5cccf92a8,unclaimed,,
514,mean_99b12bdefa24,99b12bdefa24,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
515,mean_9fba32aab5d5,9fba32aab5d5,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
516,mean_9fffeb5504ef,9fffeb5504ef,reduction,norm_template_canonicalization,2,2,3,mean_148ad2fc17ca;mean_7b48b0105aea;mean_f5b5cccf92a8,unclaimed,,
517,mean_a3bb6457fbb8,a3bb6457fbb8,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
518,mean_b9c2c7be4890,b9c2c7be4890,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
519,mean_bbddc9f04e80,bbddc9f04e80,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
520,mean_c4040694963d,c4040694963d,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
521,mean_c44b24139d10,c44b24139d10,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
522,mean_d8316a4248ca,d8316a4248ca,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
523,mean_dd0ae0c99a52,dd0ae0c99a52,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
524,mean_e8b283443d04,e8b283443d04,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
525,mean_ec8e6cb1cc72,ec8e6cb1cc72,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
526,mean_ece69d14f132,ece69d14f132,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
527,mean_fb0fac280d31,fb0fac280d31,reduction,norm_template_canonicalization,2,3,3,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
528,pointwise_12465c189749,12465c189749,pointwise,layout_indexing_stencil_fusion,3,2,3,pointwise_1383c536f620;pointwise_556aac88a856;pointwise_7e9403871aac,unclaimed,,
529,pointwise_39eaa1204ef2,39eaa1204ef2,pointwise,layout_indexing_stencil_fusion,3,2,3,~pointwise_57287c224f10;~pointwise_6a5649feb1f2,unclaimed,,
530,pointwise_3dc061aeb21e,3dc061aeb21e,pointwise,pointwise,1,4,3,,unclaimed,,
531,pointwise_41944c71d2d8,41944c71d2d8,pointwise,layout_indexing_stencil_fusion,3,2,3,pointwise_e4cfa8694326,unclaimed,,
532,pointwise_68309e9afcc5,68309e9afcc5,pointwise,layout_indexing_stencil_fusion,3,2,3,~pointwise_72ba9dfd2891,unclaimed,,
533,pointwise_dc1e4ac6d11f,dc1e4ac6d11f,pointwise,unclassified_priority_gap,2,4,3,pointwise_1c5b4956323d,unclaimed,,
